category,a,b,c,d,e,f,g,h,i
cellular_phone,6.18015e+08,2.22868e+17,5.9542e+19,1.75976e+19,5.01782e+38,4.37521e+27,2.69614e+38,0.023484,0.53703
cellular_phone,5.37314e+08,1.7262e+17,3.03535e+19,7.83987e+18,9.94066e+37,1.13201e+27,6.88814e+37,0.0242327,0.508474
cellular_phone,3.12161e+08,3.94469e+16,1.17747e+19,1.10846e+18,-2.41473e+36,-1.30293e+26,-3.19463e+36,0.0256619,0.529251
cellular_phone,3.53488e+08,7.27726e+16,7.50556e+18,1.79288e+18,5.56748e+36,1.07485e+26,3.50114e+36,0.0260872,0.470743
cellular_phone,3.27181e+08,6.51878e+16,9.65291e+18,1.28787e+18,-9.25551e+35,-1.64314e+26,4.44553e+36,0.0279216,0.451907
cellular_phone,7.94994e+08,3.44542e+17,1.76802e+20,3.38326e+19,1.06153e+39,-2.21443e+27,2.39166e+39,0.0215571,0.513515
cellular_phone,2.36086e+08,3.33428e+16,3.33866e+18,5.31517e+17,2.64361e+35,-8.47461e+24,6.56843e+35,0.0301773,0.431936
cellular_phone,2.18396e+08,2.93991e+16,1.4498e+18,1.11614e+17,-1.26483e+34,-1.36248e+25,-4.30801e+34,0.0305875,0.537421
cellular_phone,3.00326e+08,6.84732e+16,6.31372e+18,1.26937e+18,1.58002e+36,-6.769e+24,3.22756e+36,0.0347648,0.396755
cellular_phone,5.41981e+08,1.82532e+17,5.16428e+19,9.70144e+18,6.19119e+37,-6.81635e+26,2.08137e+38,0.024717,0.466738
cellular_phone,3.21218e+08,6.66083e+16,1.63672e+19,2.49749e+18,-2.66734e+36,-3.48628e+26,1.57433e+37,0.0291106,0.461915
cellular_phone,4.17721e+08,8.61708e+16,2.21681e+19,3.79488e+18,1.20287e+37,-2.65949e+25,3.2662e+37,0.0246502,0.498198
cellular_phone,2.73751e+08,3.68881e+16,1.00974e+19,1.78287e+18,2.94134e+36,-4.12993e+25,6.96932e+36,0.0273932,0.541519
cellular_phone,2.86783e+08,4.97597e+16,1.36411e+19,3.28948e+18,1.23566e+37,1.07526e+26,1.82445e+37,0.0296067,0.480058
cellular_phone,3.59495e+08,7.96536e+16,2.0893e+19,3.14342e+18,-3.59845e+36,-4.3012e+26,2.52189e+37,0.0276071,0.513795
chicken,1.34263e+07,3.34389e+13,1.57611e+17,1.42843e+16,-1.57779e+32,3.19335e+20,6.59151e+32,0.0793801,0.389624
chicken,1.1401e+08,3.96685e+14,2.54097e+19,1.1914e+17,4.30659e+34,-1.24646e+24,-2.0277e+35,0.0656588,0.400144
chicken,2.5926e+08,2.46761e+15,2.87332e+20,6.93652e+18,-2.4374e+38,-2.93028e+26,1.91019e+38,0.0503481,0.435498
chicken,6.49182e+08,2.33244e+16,9.59389e+20,3.42923e+19,9.9494e+38,-4.89388e+27,-6.13994e+39,0.0384768,0.448744
chicken,1.28617e+08,2.65154e+14,6.18517e+18,6.79006e+17,9.92483e+35,4.16165e+24,-9.75332e+35,0.0605861,0.509794
chicken,1.06884e+09,8.09039e+16,7.84374e+21,1.94427e+20,-2.22287e+41,-4.54883e+28,9.0763e+40,0.0318957,0.427183
chicken,1.06877e+09,8.08696e+16,7.7974e+21,1.90437e+20,-2.30329e+41,-5.235e+28,-2.82975e+40,0.0326563,0.427608
chicken,2.87127e+08,8.75041e+15,2.04174e+20,5.18265e+18,-1.45447e+38,-2.86498e+26,-8.52488e+37,0.0558888,0.525981
chicken,2.87179e+08,8.7718e+15,2.02461e+20,4.48525e+18,-1.07451e+38,-2.18409e+26,-8.19929e+37,0.0669627,0.261534
chicken,2.79907e+08,3.16314e+15,2.90527e+20,5.51618e+18,8.76026e+37,2.62961e+26,-2.02707e+38,0.0495001,0.423895
chicken,2.79965e+08,3.16574e+15,2.86251e+20,5.75621e+18,-1.03496e+38,1.33967e+26,-2.09485e+38,0.0574943,0.211049
chicken,6.30964e+06,3.74868e+12,1.873e+16,1.16747e+15,1.36326e+30,-1.12921e+21,-5.28633e+30,0.0972274,0.330927
chicken,6.30491e+06,3.71689e+12,1.96909e+16,1.13321e+15,-4.41285e+30,-2.13672e+21,-3.03009e+30,0.0972274,0.330927
chicken,4.87592e+06,4.26384e+12,1.21771e+16,8.23844e+14,-2.49995e+29,3.19802e+20,2.59739e+30,0.0978382,0.436394
chicken,4.87785e+06,4.27692e+12,1.27774e+16,1.1223e+15,2.80761e+30,1.61027e+21,3.19054e+30,0.100999,0.438144
children,1.37303e+07,1.38856e+14,3.61975e+15,1.95665e+15,5.00436e+30,2.10795e+22,-1.43938e+30,0.0812355,0.0771853
children,1.36018e+07,1.35812e+14,1.43167e+15,7.5591e+14,6.46397e+29,8.54261e+21,-4.47823e+29,0.084118,0.0759575
children,1.34667e+07,1.31326e+14,2.70472e+15,1.338e+15,2.31752e+30,1.51385e+22,-1.05251e+30,0.0853543,0.0756953
children,1.31338e+07,1.30693e+14,6.49831e+15,4.95851e+15,2.78354e+31,5.6516e+22,-4.17434e+30,0.0844979,0.0733588
children,1.32427e+07,1.32145e+14,2.82298e+15,1.68256e+15,3.6155e+30,1.93357e+22,-6.12443e+29,0.0843509,0.0741933
children,1.35788e+07,1.36733e+14,3.69394e+15,2.21306e+15,6.10764e+30,2.42256e+22,-1.65363e+30,0.0808365,0.0763867
children,1.33619e+07,1.33711e+14,2.91766e+15,1.66222e+15,3.65486e+30,1.90687e+22,-2.04557e+29,0.0822614,0.0750635
children,1.36754e+07,1.38345e+14,3.46766e+15,2.08063e+15,5.47802e+30,2.33587e+22,-1.10668e+30,0.080155,0.0768873
children,1.36205e+07,1.36515e+14,2.58035e+15,1.28554e+15,2.31344e+30,1.45888e+22,-3.60478e+29,0.079505,0.0770661
children,1.36085e+07,1.35564e+14,4.75433e+15,1.79155e+15,4.22007e+30,1.3276e+22,-3.087e+30,0.0806053,0.0771972
children,1.35491e+07,1.34356e+14,4.07712e+15,1.48477e+15,3.02958e+30,1.16946e+22,-2.04133e+30,0.0796104,0.0771138
children,1.36231e+07,1.35998e+14,4.74022e+15,1.8542e+15,4.70484e+30,1.49677e+22,-2.84303e+30,0.0793332,0.077233
children,1.36848e+07,1.37215e+14,4.69467e+15,1.90851e+15,4.86534e+30,1.54976e+22,-2.99394e+30,0.0799322,0.0773999
children,1.38736e+07,1.40991e+14,5.29815e+15,2.27927e+15,6.76888e+30,1.86971e+22,-4.11309e+30,0.0786173,0.0779363
children,1.3825e+07,1.4066e+14,3.32257e+15,1.86084e+15,4.58039e+30,2.13635e+22,-6.55111e+29,0.0804792,0.0776145
chopper,2.81419e+07,1.90772e+14,2.55884e+17,1.18907e+17,1.90044e+34,1.6423e+24,-8.30788e+33,0.0681485,0.115221
chopper,4.14208e+07,7.18427e+14,8.7381e+17,4.89841e+17,3.17931e+35,1.30733e+25,-4.02854e+34,0.0712166,0.130468
chopper,4.82808e+07,1.0079e+15,1.48477e+18,7.92753e+17,8.46015e+35,2.51108e+25,-1.54883e+35,0.0680475,0.139462
chopper,4.45972e+07,7.78768e+14,1.42806e+18,8.06808e+17,8.55988e+35,2.24477e+25,-1.31443e+35,0.0686382,0.135948
chopper,4.59455e+07,8.6532e+14,1.37297e+18,6.70861e+17,6.39652e+35,1.96601e+25,-7.33425e+34,0.0682213,0.13707
chopper,5.31353e+07,1.02922e+15,2.05592e+18,9.41465e+17,1.26368e+36,2.98378e+25,-3.44567e+35,0.0686,0.148903
chopper,5.28794e+07,1.31062e+15,3.19964e+18,1.76574e+18,4.19292e+36,6.34081e+25,-1.85649e+35,0.0658796,0.142093
chopper,3.30937e+07,1.43961e+14,3.39619e+17,3.43796e+16,2.8087e+33,3.83039e+23,-2.43141e+33,0.0632281,0.129525
chopper,3.25223e+07,1.92152e+14,2.35377e+17,5.4671e+16,4.78872e+33,7.50376e+23,-3.94087e+33,0.0679153,0.12614
chopper,2.7793e+07,1.03407e+14,1.41422e+17,2.44406e+16,5.99191e+32,2.47112e+23,-1.306e+33,0.0684613,0.119479
chopper,2.83431e+07,1.08775e+14,2.05702e+17,2.94861e+16,1.44553e+33,3.07009e+23,-1.78433e+33,0.0685918,0.119976
chopper,2.86809e+07,1.34346e+14,1.62505e+17,2.93058e+16,1.14591e+33,3.35687e+23,-1.66641e+33,0.0700589,0.119589
chopper,2.99822e+07,1.65374e+14,2.87194e+17,6.58605e+16,8.27873e+33,7.95498e+23,-3.67522e+33,0.0701237,0.121177
chopper,3.0834e+07,1.70185e+14,2.23629e+17,4.06927e+16,2.67267e+33,5.25908e+23,-2.81524e+33,0.0694244,0.123827
chopper,3.27553e+07,2.31852e+14,3.36567e+17,1.07463e+17,1.88309e+34,1.61231e+24,-7.94266e+33,0.0686066,0.125882
classic,1.77641e+08,1.56975e+16,3.73704e+18,8.51598e+17,1.51261e+36,1.02816e+26,-1.4143e+35,0.0334131,0.542975
classic,3.7099e+08,8.32255e+16,1.84054e+20,1.68394e+19,-4.45501e+38,-2.87231e+27,-8.24862e+38,0.0321316,0.268479
classic,3.7096e+08,8.32067e+16,1.91619e+20,2.15971e+19,6.49824e+37,-1.42934e+27,1.38783e+39,0.0321316,0.268479
classic,3.92452e+08,1.01506e+17,1.21311e+20,3.63096e+19,2.29005e+39,9.80324e+27,-7.50209e+38,0.0319898,0.268529
classic,3.92429e+08,1.01483e+17,1.39065e+20,5.00138e+19,4.07595e+39,1.42838e+28,8.85533e+38,0.0319898,0.268529
classic,2.29063e+09,2.95224e+18,1.25539e+22,3.38265e+21,2.03159e+43,4.80961e+30,8.55376e+42,0.020891,0.651023
classic,2.29069e+09,2.95248e+18,1.16366e+22,2.73793e+21,1.36e+43,3.66193e+30,-7.33968e+42,0.0207871,0.650903
classic,3.61366e+08,8.20813e+16,9.21631e+19,2.06348e+19,7.81728e+38,3.99561e+27,-4.45719e+38,0.0319899,0.659352
classic,3.61373e+08,8.20797e+16,1.04509e+20,2.99198e+19,1.57674e+39,6.71404e+27,5.59518e+38,0.0320968,0.659463
classic,8.22579e+09,3.84734e+19,2.36835e+23,5.52662e+22,5.17903e+45,2.39151e+32,-3.62711e+45,0.013534,0.710195
classic,8.22582e+09,3.84736e+19,2.50796e+23,6.52502e+22,7.25123e+45,3.0414e+32,4.13433e+45,0.0133932,0.710093
classic,1.58211e+08,1.23988e+16,1.93567e+18,3.58853e+17,2.9908e+35,3.99461e+25,-1.27382e+33,0.0398192,0.372279
classic,1.58198e+08,1.23896e+16,2.91088e+18,1.00684e+18,1.70532e+36,1.11217e+26,-2.50725e+35,0.0398192,0.372279
classic,7.41201e+09,3.59718e+19,2.2956e+23,7.20529e+22,8.64845e+45,3.44699e+32,-3.32808e+45,0.0155263,0.483349
classic,7.41205e+09,3.59722e+19,2.43482e+23,8.29769e+22,1.12109e+46,4.11268e+32,3.66324e+45,0.0155263,0.483349
Comma,1.01772e+09,4.05179e+17,5.02311e+19,1.30041e+19,-7.31118e+37,-1.35908e+27,3.24218e+38,0.0181056,0.61136
Comma,8.18461e+08,3.28084e+17,2.75188e+20,4.69443e+20,1.68422e+41,2.22111e+29,-1.01615e+40,0.0340723,0.402453
Comma,1.1559e+09,5.46512e+17,1.07091e+21,3.6333e+20,1.85711e+41,1.47507e+29,1.29905e+41,0.0182433,0.581235
Comma,1.01873e+09,3.84803e+17,6.38327e+20,1.52277e+20,2.526e+40,3.98908e+28,4.0198e+40,0.0204975,0.551389
Comma,1.07827e+09,5.24565e+17,5.46815e+20,1.85901e+20,5.48986e+40,6.54512e+28,2.23428e+40,0.0188011,0.557053
Comma,1.14857e+09,5.70533e+17,7.18355e+20,2.3548e+20,7.99005e+40,8.62745e+28,5.47347e+40,0.0186428,0.562927
Comma,8.90606e+08,3.39844e+17,3.85314e+20,8.06962e+19,1.11138e+40,7.56331e+27,8.88595e+39,0.0226625,0.52305
Comma,9.7692e+08,4.94959e+17,6.75662e+20,5.91053e+19,-5.07449e+39,-3.3496e+28,1.06659e+40,0.0208493,0.500288
Comma,1.03078e+09,4.94866e+17,1.2133e+21,6.49994e+20,5.27781e+41,3.02806e+29,2.33754e+41,0.0219198,0.50464
Comma,8.90948e+08,2.85976e+17,1.04144e+21,1.7451e+20,3.1149e+40,2.05342e+27,6.75609e+40,0.0134338,0.595514
Comma,9.63259e+08,4.14552e+17,1.8229e+20,3.70108e+19,2.20886e+39,1.39634e+27,2.08866e+39,0.020379,0.514184
Comma,9.78558e+08,5.62758e+17,4.24574e+20,2.03731e+20,5.68e+40,1.45638e+29,1.90795e+40,0.024178,0.473692
Comma,8.94174e+08,2.88214e+17,4.31634e+20,1.77197e+20,4.66306e+40,6.43388e+28,1.50699e+40,0.0206059,0.509297
Comma,9.96338e+08,2.87632e+17,1.38463e+21,8.02038e+20,6.50541e+41,3.90235e+29,5.39591e+41,0.0233607,0.520694
Comma,6.53182e+08,1.32905e+17,2.6408e+20,6.75074e+19,6.58848e+39,1.31533e+28,6.15105e+39,0.0206393,0.552914
crown,1.50165e+07,5.67157e+13,1.80701e+16,2.58824e+15,-1.74549e+31,-1.92783e+22,-2.93859e+30,0.238047,0.526781
crown,1.00308e+07,1.55722e+13,1.14515e+16,2.55913e+15,-1.25212e+31,-8.89159e+21,-5.92859e+30,0.169973,0.511667
crown,2.04672e+07,8.2786e+13,1.21661e+17,3.40623e+16,-2.14506e+33,-3.07819e+23,4.54781e+32,0.123645,0.457738
crown,8.52493e+07,1.3977e+15,3.15729e+18,1.05564e+18,-1.85945e+36,-3.85607e+25,-5.06606e+35,0.114751,0.427302
crown,609070,1.22913e+11,1.10412e+13,3.40296e+12,-1.82028e+25,-1.10482e+18,-1.0186e+25,0.180715,0.551408
crown,4.82913e+09,1.10732e+18,3.20174e+22,4.63867e+21,-5.23967e+43,-4.61923e+30,2.12201e+43,0.0236435,0.489177
crown,1.18389e+07,3.87631e+13,1.70548e+16,2.11225e+15,-1.47536e+30,-6.80304e+21,-1.25916e+31,0.122275,0.561576
crown,887785,2.44723e+11,1.04496e+13,5.24618e+12,2.73737e+24,-8.63382e+17,-3.87466e+25,0.124275,0.59323
crown,1.11744e+08,1.54718e+15,4.1808e+18,1.16978e+18,-2.06145e+36,-3.90478e+25,-1.5629e+36,0.0697802,0.519194
crown,557779,8.73422e+10,5.90379e+12,1.29528e+12,2.00565e+23,-1.29119e+17,-3.57624e+24,0.133212,0.634749
crown,9.86936e+06,2.86815e+13,8.92221e+15,2.11558e+15,8.70215e+29,-3.56245e+21,-9.15009e+30,0.121386,0.444561
crown,2.24022e+07,6.73493e+13,1.03833e+17,3.56005e+16,-2.08487e+33,-2.83319e+23,-5.8161e+32,0.0972351,0.482589
crown,1.29636e+06,4.59017e+11,6.59916e+13,2.05633e+13,-5.62518e+26,-1.12356e+19,-5.07329e+26,0.193162,0.46072
crown,882004,2.64064e+11,9.48412e+12,6.07934e+12,3.78295e+25,1.29277e+18,-2.64546e+25,0.163868,0.606669
crown,756202,1.4865e+11,1.20807e+13,2.5302e+12,4.43589e+24,-1.37735e+17,-1.32668e+25,0.171883,0.628333
cup,3.21666e+08,4.93679e+15,6.50465e+19,1.05784e+19,2.38097e+38,6.1626e+26,-1.42508e+38,0.0305376,0.386942
cup,4.15655e+08,3.67065e+15,9.89544e+19,7.21792e+18,1.92517e+38,-3.27313e+26,-1.2168e+37,0.0289867,0.390065
cup,2.58492e+08,4.70501e+15,2.25459e+19,4.66723e+17,1.05707e+36,-2.7451e+25,-1.08386e+36,0.0343619,0.313985
cup,3.52099e+08,6.38353e+15,4.52185e+19,4.74273e+18,6.20415e+37,-3.60371e+26,3.12216e+37,0.0321539,0.368809
cup,8.20327e+08,1.91154e+15,7.99627e+20,8.00448e+19,2.01887e+40,-3.74374e+26,1.58484e+39,0.0249129,0.482813
cup,7.90498e+08,4.11723e+14,6.33175e+20,6.69917e+19,1.36414e+40,1.11149e+27,2.06809e+39,0.0252549,0.413643
cup,7.56027e+08,2.37796e+16,4.3946e+20,1.67649e+19,5.11886e+38,-7.98328e+26,-1.34488e+39,0.0271108,0.415478
cup,8.12931e+08,2.94838e+16,9.08434e+20,2.76406e+19,3.06821e+39,-4.72591e+27,3.12569e+39,0.0256515,0.447219
cup,2.59557e+08,9.13596e+14,3.29847e+19,2.16734e+18,1.63933e+37,-6.01141e+25,8.18957e+36,0.032659,0.383616
cup,3.95434e+08,2.70344e+15,1.06085e+20,2.21001e+19,1.02516e+39,1.46136e+26,3.0681e+38,0.0320881,0.30793
cup,1.8167e+08,1.74924e+14,1.19498e+19,1.86859e+18,8.79353e+36,-3.1092e+24,-7.99626e+35,0.0341124,0.298648
cup,1.90897e+08,9.88476e+14,1.05138e+19,4.23987e+17,6.77676e+35,-1.02186e+25,5.84888e+35,0.0370085,0.254346
cup,4.93273e+08,1.4665e+16,1.11334e+20,8.01244e+18,2.3419e+38,-9.08371e+26,4.92369e+37,0.0285358,0.410894
cup,3.92186e+08,2.79802e+16,6.34085e+19,2.18324e+18,-2.51708e+37,6.33223e+25,-5.12739e+36,0.031101,0.404405
cup,3.69786e+08,6.71184e+15,9.68705e+19,1.6062e+18,-6.84766e+36,-7.38427e+25,1.88288e+37,0.0303565,0.396935
deer,1.91032e+09,1.14825e+18,1.15443e+22,1.16994e+20,-5.22909e+40,5.71822e+28,-1.25508e+41,0.0585333,0.285039
deer,3.26434e+09,2.75407e+18,4.73904e+22,4.16777e+21,4.38499e+43,1.66149e+30,3.88334e+43,0.0741988,0.286934
deer,3.28615e+09,2.82801e+18,4.64614e+22,4.74714e+21,6.23387e+43,3.19512e+30,3.2928e+43,0.0821134,0.142683
deer,5.88847e+09,1.1066e+19,2.49868e+22,4.13091e+22,1.31073e+45,5.6337e+31,-2.08231e+44,0.0505832,0.384061
deer,5.88911e+09,1.10658e+19,2.35785e+22,3.71551e+22,1.07631e+45,5.06864e+31,-2.25751e+44,0.0579868,0.192014
deer,8.66265e+09,1.98305e+19,4.12096e+23,1.93169e+22,1.68615e+45,5.36039e+31,-3.56745e+44,0.0542926,0.326338
deer,8.19033e+09,1.81391e+19,3.42227e+23,2.44744e+22,1.88089e+45,9.84855e+31,1.21629e+45,0.0521718,0.311511
deer,8.47864e+09,1.94963e+19,3.52977e+23,1.31442e+22,8.78675e+44,3.57411e+31,-1.71822e+44,0.0531049,0.322783
deer,8.47872e+09,1.94947e+19,3.56863e+23,1.07165e+22,5.52231e+44,1.78685e+31,-3.66395e+44,0.0533426,0.322888
deer,8.66255e+09,1.98246e+19,4.14346e+23,1.68887e+22,1.27972e+45,3.67103e+31,-5.98576e+44,0.0620086,0.163791
deer,8.51419e+09,1.9624e+19,3.96165e+23,2.07213e+22,1.70206e+45,8.43409e+31,7.92298e+44,0.0542001,0.315881
deer,2.9711e+09,1.84384e+18,6.11186e+21,1.51648e+21,3.03551e+42,1.59212e+30,-3.4786e+42,0.0654209,0.310519
deer,2.97076e+09,1.84299e+18,5.76282e+21,1.21863e+21,2.21709e+42,1.31834e+30,-2.3481e+42,0.075162,0.155798
deer,4.72125e+09,7.68215e+18,1.81237e+22,2.66488e+21,1.73773e+43,-4.62756e+30,6.40471e+42,0.0461979,0.276857
deer,4.72113e+09,7.68259e+18,2.01715e+22,2.68871e+21,1.06504e+43,-6.61417e+30,1.66927e+43,0.0460663,0.276818
device0,5.38331e+08,6.86017e+10,9.61199e+13,6.49567e+17,2.83643e+33,-1.60529e+21,-4.27772e+33,0.0576348,0.194822
device0,2.90947e+09,1.75489e+11,1.32705e+16,1.74051e+19,3.64361e+36,6.7584e+24,-7.52964e+36,0.0211533,0.459484
device0,2.90798e+09,2.53823e+11,1.60064e+16,1.69929e+19,-5.67673e+35,-3.07043e+24,8.84416e+36,0.0224785,0.458634
device0,1.65882e+09,8.08889e+10,2.66692e+15,5.55892e+18,2.06375e+35,1.56159e+24,-6.44617e+35,0.0340976,0.314368
device0,1.39804e+09,1.49298e+11,3.5339e+16,5.1422e+18,-1.47857e+36,1.62881e+24,1.6183e+36,0.0307733,0.302281
device0,1.40277e+09,5.8251e+12,1.66967e+18,4.11494e+18,-1.07291e+37,9.25607e+24,1.10652e+36,0.0374861,0.302909
device0,1.64574e+09,2.03899e+11,1.57937e+16,4.96169e+18,-2.27699e+35,2.23855e+24,1.37016e+36,0.0293548,0.343894
device0,7.26227e+08,7.84776e+12,1.13257e+18,9.85401e+17,7.64949e+35,4.95829e+23,-7.06076e+35,0.0463895,0.218768
device0,1.40041e+09,2.11957e+13,1.39688e+18,3.83493e+18,-8.47879e+36,1.59154e+25,2.62537e+36,0.0372462,0.302496
device0,1.66843e+09,1.0079e+14,4.97941e+18,1.70721e+18,-3.93882e+36,6.97955e+24,3.04339e+36,0.0425222,0.315398
device0,2.92391e+09,2.31273e+14,5.10426e+18,3.7763e+19,-2.44887e+38,-5.33749e+26,4.63576e+38,0.0267626,0.460629
device0,2.92542e+09,6.45483e+14,1.70663e+19,1.42791e+19,-1.34584e+38,-3.3423e+26,-1.7769e+38,0.0258467,0.461097
device0,7.0892e+08,2.98226e+09,5.17315e+14,9.17939e+17,-1.60452e+34,2.78725e+22,1.19448e+34,0.0392171,0.215812
device0,1.1718e+09,2.12472e+10,6.33961e+15,2.60025e+18,2.55652e+35,7.29291e+22,-2.14707e+35,0.0383943,0.280284
device0,6.83537e+08,1.3525e+10,1.88429e+14,9.8479e+17,8.86268e+33,3.6283e+22,-1.00705e+34,0.036541,0.223023
device1,1.78035e+09,1.77427e+14,6.38853e+18,5.12976e+18,-1.57406e+37,-6.37399e+25,2.47912e+37,0.0227506,0.384301
device1,1.19622e+09,2.45368e+13,1.64689e+18,6.14018e+18,1.47221e+36,1.32292e+25,-1.947e+37,0.0358704,0.319756
device1,2.2717e+09,2.44782e+14,4.86456e+20,1.00842e+19,-2.20546e+38,-6.54477e+25,-6.7098e+38,0.0339791,0.417688
device1,1.38582e+09,5.62526e+14,2.18404e+19,2.12058e+18,-6.64365e+36,-4.84102e+25,1.28114e+37,0.0556727,0.27426
device1,5.4492e+08,2.33639e+13,6.04822e+17,7.01106e+17,-4.06441e+35,-2.37731e+24,2.07953e+35,0.0374909,0.204706
device1,1.38461e+09,6.98692e+14,1.12186e+19,1.93712e+18,-1.66829e+36,-5.11156e+25,8.87491e+36,0.0629723,0.274153
device1,5.47453e+08,2.8895e+13,3.98736e+17,7.04485e+17,3.73047e+35,3.68857e+24,-1.5773e+34,0.0414321,0.205476
device1,1.81435e+09,2.04417e+13,1.9584e+18,3.85433e+17,-2.61051e+35,-2.30412e+23,-2.09735e+35,0.0261636,0.40194
device1,2.34512e+09,1.06315e+14,5.9652e+18,1.51709e+18,-1.0586e+36,4.36575e+24,-4.43937e+36,0.0172102,0.453054
device1,2.74045e+09,1.75416e+14,6.47594e+20,7.39938e+18,4.32966e+38,2.63895e+25,-2.73668e+38,0.0247933,0.478062
device1,1.72429e+09,4.87561e+14,2.42095e+19,1.20446e+19,1.58512e+38,2.37966e+26,-1.31057e+38,0.0432942,0.332064
device1,1.02479e+09,3.15994e+13,1.08423e+18,3.9734e+17,-2.04981e+35,-1.92561e+23,-1.61241e+35,0.0244681,0.293937
device1,1.7829e+09,5.90802e+13,2.45479e+17,4.19538e+17,-8.62364e+34,-3.06801e+24,1.03395e+35,0.025132,0.384458
device1,2.26218e+09,3.02922e+14,4.44436e+20,7.77907e+17,4.54563e+36,-4.25194e+24,-1.37314e+37,0.037567,0.416738
device1,1.20926e+09,1.78002e+13,5.51402e+18,4.38965e+18,-1.77066e+37,-5.73815e+24,-1.23643e+37,0.0435627,0.321403
device2,1.34251e+09,4.40127e+13,7.22932e+18,9.42069e+18,-5.56758e+37,5.02321e+25,-5.42632e+37,0.0548352,0.305965
device2,9.52027e+08,9.07214e+08,4.53607e+08,1.81266e+18,5.19772e+31,5.45972e+22,0,0.0636786,0.230698
device2,1.27355e+09,5.57897e+14,6.74651e+15,6.1078e+18,-1.23589e+36,-1.16908e+26,9.88879e+34,0.0439912,0.239885
device2,1.84245e+09,1.04435e+15,1.16167e+20,5.79539e+18,1.4604e+38,-5.77406e+25,3.58308e+37,0.0364876,0.310947
device2,1.165e+09,8.68896e+11,1.80006e+18,5.39975e+18,-8.85107e+36,-9.27926e+23,1.432e+37,0.0376118,0.283773
device2,1.91248e+09,1.01618e+12,8.00551e+15,1.11594e+19,-7.56601e+35,9.72538e+24,3.2485e+36,0.0179748,0.413329
device2,1.34113e+09,4.92949e+11,5.47455e+17,4.49538e+18,-7.04763e+36,3.15104e+24,-2.53286e+35,0.0484191,0.305222
device2,5.79663e+08,1.3227e+11,1.59111e+15,8.26217e+17,2.44194e+34,-2.45277e+22,-1.73517e+34,0.0332534,0.220427
device2,1.85429e+09,1.62462e+15,1.2085e+20,1.80626e+18,2.63991e+37,-6.75902e+24,-3.90656e+36,0.0444314,0.312301
device2,6.38437e+08,1.21525e+12,9.73533e+17,1.22513e+18,-7.49981e+35,-1.97856e+23,1.10803e+36,0.0797553,0.173391
device2,1.28361e+09,3.25104e+14,2.80044e+17,4.25219e+18,-4.54854e+36,-5.86168e+25,9.17467e+35,0.0551394,0.241364
device2,1.28094e+09,5.53474e+14,4.64349e+17,9.62573e+18,2.02558e+37,1.40501e+26,-1.95976e+36,0.0491435,0.240839
device2,2.38088e+09,1.2611e+12,1.93067e+17,1.64458e+19,-2.9258e+37,1.32095e+25,-1.65357e+36,0.0196936,0.452901
device2,2.39616e+09,2.93426e+13,1.96372e+18,3.09885e+19,-1.78747e+38,7.10838e+25,-1.62745e+38,0.0238109,0.453717
device2,1.91684e+09,1.45252e+14,7.29559e+18,8.06078e+18,6.17722e+37,8.84242e+25,2.30921e+36,0.0211702,0.413712
device3,3.05021e+09,4.42586e+15,6.59331e+19,5.74575e+17,3.3863e+36,5.09849e+24,-1.01968e+36,0.0129127,0.436578
device3,3.57562e+09,4.56634e+15,2.45615e+17,2.89365e+19,-7.55061e+37,1.74707e+27,1.58064e+37,0.0150874,0.476408
device3,2.48216e+09,6.33123e+14,2.0062e+19,6.30944e+19,7.59862e+38,1.25448e+27,2.11226e+39,0.0202561,0.386351
device3,2.88374e+09,1.2934e+16,3.5752e+20,5.76021e+19,-4.66519e+39,5.86834e+27,6.82397e+39,0.0426521,0.391679
device3,3.65799e+09,9.00316e+14,4.15173e+20,1.15498e+20,-8.55407e+39,3.1123e+27,2.38011e+40,0.013147,0.475624
device3,3.57155e+09,4.28381e+15,5.8261e+17,2.09626e+19,2.41364e+37,1.12455e+27,-6.91677e+37,0.0111081,0.476166
device3,3.30127e+09,4.56312e+15,1.88456e+17,7.41727e+19,4.9138e+37,8.72974e+26,2.72925e+38,0.0114479,0.453584
device3,3.31507e+09,3.52609e+15,1.08853e+20,4.78294e+19,-4.26856e+37,-2.40614e+27,-3.45087e+39,0.0126641,0.454567
device3,3.58152e+09,5.55928e+15,1.45665e+20,2.11464e+19,9.81608e+38,1.57297e+27,-6.43322e+38,0.0121265,0.476843
device3,2.47843e+09,5.22016e+14,1.57773e+19,6.62639e+19,1.12151e+39,7.97138e+26,1.82558e+39,0.0156589,0.386154
device3,2.89728e+09,1.62326e+16,5.16749e+20,3.84842e+19,-4.62056e+39,7.74208e+26,-2.84665e+39,0.0335584,0.392933
device3,5.12128e+09,7.44345e+15,4.22153e+20,1.64937e+19,6.10803e+38,-1.42196e+27,-1.23334e+39,0.0104058,0.57304
device3,4.74472e+09,7.3174e+15,4.42593e+20,5.49668e+19,-3.4829e+39,2.17355e+27,-7.83407e+39,0.0106992,0.548592
device3,2.45338e+09,1.497e+16,4.32904e+20,7.29022e+19,-1.22399e+40,3.28411e+27,-4.2328e+39,0.0361429,0.35663
device3,1.99004e+09,5.46352e+14,9.42445e+18,3.3419e+19,3.72401e+38,7.01768e+26,-4.61595e+38,0.0195264,0.337568
